a	阿
aDiĐàPhật	阿彌陀佛
aPhiến	阿片
ai	埃
aiAi	埃ヌ
an	安
anh	英	偀
anhChị	偀姉
anhChịEm	偀姉㛪
anhEm	偀㛪
anhHọ	偀户	偀戶
anhQuốc	英國
ba	𠀧	爸
baMá	爸媽
ban	班
banNgày	班𣈜
banSáng	班𤎜
banTối	班最
bang	邦
banĐầu	班頭
bao	包
baoGiấy	包紙
baoGiờ	包𣇞
baoNhiêu	包饒
baoTay	包𢬣
bay	𠖤
biết	别
biếtBao	别包
biếtMặt	别𩈘
biếtĐiều	别条	别條
biếtĐâu	别兜
biển	𣷷
biểnNhậtBản	𣷷日本
biểnĐông	𣷷東
buổi	𣇜
buổiSáng	𣇜𤎜
buổiTối	𣇜最
bà	妑	婆
bàCon	妑𡥵	婆𡥵
bàNgoại	妑外	婆外
bàNội	妑内	婆内
bàn	盘	盤	搬
bànChân	盘蹎	盤蹎
bànCờ	盘碁	盤碁
bànGiao	搬交
bànGiấy	盘紙	盤紙
bànLuận	盘論	盤論
bànRa	盘𦋦	盤𦋦
bànTay	盘𢬣	盤𢬣
bànĂn	盘咹	盤𩛖
bác	伯
bácSĩ	伯士
bán	𧸝	半
bánÂm	半音
bánĐảo	半島
báo	報
bây	悲	𣊾
bâyGiờ	悲𣇞	𣊾𣇞
bâyNhiêu	悲饒	𣊾饒
bé	𡮣
béCon	𡮣𡥵
bên	边
bênNgoài	边外
bênPhải	边沛
bênTrái	边賴
bình	評	平	瓶
bìnhAn	平安
bìnhLuận	評論
bìnhThuỷ	瓶水
bìnhThường	平常
bò	𤙭
bóng	䏾
bóngGió	䏾𩙌	䏾𩙋
bóngTrăng	䏾𦝄
bóngĐèn	䏾畑
bông	葻
bôngHoa	葻花
bôngLan	葻蘭
bôngSen	葻蓮
bạc	鉑
bạn	伴
bạnCũ	伴𫇰
bạnVàng	伴鐄
bản	本	版
bảnDoanh	本营	本營
bảnĐồ	版圖
bảo	保	𠸒
bảoHiểm	保險
bảoLãnh	保領
bảoToàn	保全
bảoTrợ	保助
bảoVệ	保衛
bảy	𦉱
bất	不
bấtHạnh	不幸
bấtNhân	不仁
bấtThường	不常
bậy	呸
bắc	北
bắcKỳ	北圻
bắcMỹ	北美
bắt	扒
bắtĐầu	扒頭
bằng	凭	憑	朋
bằngChứng	凭證	憑證
bệnh	病
bệnhViện	病院
bị	被	備
bịĐộng	被動
bỏ	𠬃
bỏChạy	𠬃𧼋
bỏKhông	𠬃空
bỏMặc	𠬃默
bỏQua	𠬃戈
bỏĐi	𠬃𠫾
bố	布	佈	𢂞
bốMẹ	𢂞媄
bốTrận	佈陣
bốn	𦊚
bốnPhương	𦊚方
bộ	部	步
bộHành	步行
bộThủ	部首
bộTrưởng	部長
bộĐội	步隊
bởi	𤳄
bởiVì	𤳄為	𤳄爲
bụng	䏾
cao	高
caoCấp	高級
caoThượng	高上
caoXa	高賖
caoĐiểm	高點
caoĐẹp	高𢢲
cha	吒
chaMẹ	吒媄
chi	支
chia	𢺺
chiaSẻ	𢺺𢩿
chiaTay	𢺺𢬣
chim	𪀄
chiếc	隻
chiến	戰
chiếnThuyền	戰船
chiếnTrận	戰陣
chiều	朝
chiềuCao	朝高
chiềuDài	朝𨱽
cho	朱
choBiết	朱别
choNên	朱𢧚
chuyện	𡀯
chuyệnTình	𡀯情
chào	嘲
cháu	𡥙
chân	蹎
chânMây	蹎𩄲
chânTay	蹎𢬣
châu	珠	洲
châuÁ	洲亜	洲亞
châuÂu	洲歐
châuĐạiDương	洲大洋
chí	志
chín	𠃩
chính	正	政
chínhPhủ	政府
chínhThể	正体	正體
chínhThức	正式
chínhTrị	政治
chínhTrịGia	政治家
chínhTrịPhạm	政治犯
chínhĐảng	政党	政黨
chómTrưởng	呫長
chú	注
chúThích	注釋
chúa	主
chúng	眾
chúngTa	眾些
chúngTôi	眾碎	眾倅
chúÝ	注意
chơi	𨔈
chơiChữ	𨔈𡦂	𨔈𡨸
chưa	渚	𣗓
chương	章
chươngTrình	章程
chạy	𧼋
chạyBộ	𧼋步
chạyTheo	𧼋遶
chấp	执	執
chấpChính	执政	執政
chấpHành	执行	執行
chế	制	製
chếPhẩm	制品	製品
chếTác	制作	製作
chếTạo	制造	製造
chếĐộ	制度	製度
chỉ	只	𥿗	指
chỉSố	指数
chỉSốKinhTế	指数経济	指数經濟
chỉThị	指示
chị	姉
chịEm	姉㛪
chủ	主
chủNhân	主人
chủNhật	主日
chủThể	主体	主體
chủTrị	主治
chủĐề	主題
chức	織
chứng	證
chữ	𡦂	𡨸
chữHán	𡦂漢	𡨸漢
chữMắt	𡦂眜	𡨸眜
chữNôm	𡦂喃	𡨸喃
chữThậpĐỏ	𡦂十𧹼	𡨸十𧹼
chữViết	𡦂曰	𡨸曰
coi	䁛
coiThương	䁛常
con	𡥵
conBé	𡥵𡮣
conGái	𡥵𡛔
conMột	𡥵𠬠
conNgười	𡥵𠊛
conTrai	𡥵𤳆
cuộc	局
cuộcĐời	局𠁀
cá	𩵜
cáBiển	𩵜𣷷
cáVàng	𩵜鐄
các	各
cácBạn	各伴
cácVị	各位
cách	格	革
cáchLàm	格爫
cáchMạng	革命
cái	丐
cáiGì	丐之	丐咦
cáiNày	丐尼	丐呢
cáiĐó	丐妬
cámƠn	感恩
cáĐồng	𩵜垌
cân	斤
cânThư	斤書
câu	句
câuHỏi	句𠳨
cây	𣘃
câySố	𣘃数
câyViết	𣘃曰
còn	群
cònLại	群吏
có	固
cóKhi	固欺
cóLý	固理
cóQuyền	固权	固權
cóThể	固体	固體
cóTuổi	固歲
cóĐiều	固条	固條
cô	姑
côGiáo	姑教
công	工	公	功
côngAn	公安
côngBố	公佈
côngNghiệp	工業
côngNghệ	工芸	工藝
côngNhân	工人
côngNhận	公認
côngThức	公式
côngTy	公司
côngTác	工作
côngViệc	工役
côngXã	公社
cõi	𡎝
cùng	共
cũ	𫇰
cũng	拱
cơ	机	機	基
cơBản	基本
cơHội	机会	機會
cơQuan	机関	機關
cơThể	机体	機體
cơm	粓
cười	唭
cả	哿
cải	改
cảiCách	改革
cảiTổ	改組
cảm	感
cảmThương	感傷
cảmThấy	感𧡊
cảmƠn	感恩
cảnh	景	警
cảnhTình	景情
cảnhVật	景物
cảnhVệ	警衛
cấp	級	急
cấpThời	急時
cần	勤
cầnYếu	勤要
cầu	求
cầuXin	求吀
cận	近
cậnThị	近視
cậnĐại	近代
cập	及
cắt	割
cổ	古
cổĐiển	古典
cộng	共
cộngHoà	共和
cộngSản	共産
cộngĐồng	共同
cờ	旗	碁
của	𧵑
củaCông	𧵑公
cứ	拠
cứu	究
cứĐiểm	拠點
cử	舉
cửHành	舉行
cửNhân	舉人
cửa	𨴦	𨷶
cửaHàng	𨴦行	𨷶行
cửaSổ	𨴦数	𨷶数
da	䏧
daThuộc	䏧屬
danh	名
danhTừ	名詞
do	由
doanh	营	營
doanhNghiệp	营業	營業
doanhSố	营数	營数
duyNhất	唯一
dài	𨱽
dân	民
dânChủ	民主
dânCử	民舉
dânQuyền	民权	民權
dânSố	民数
dânSự	民事
dânVệ	民衛
dây	絏
dâyĐiện	絏電
dãy	𧿆
dãyNúi	𧿆𡶀
dù	𠶢
dùRằng	𠶢浪	𠶢哴
dùSao	𠶢牢
dùng	用
dương	洋
dưới	𤲂
dược	藥
dượcHọc	藥学	藥學
dượcLiệu	藥料
dượcPhòng	藥房
dượcPhẩm	藥品
dượcSĩ	藥士
dượcĐiển	藥典
dạ	唯
dạVâng	唯𠳐
dạy	𠰺
dạyBảo	𠰺保
dạyHọc	𠰺学	𠰺學
dầu	油
dầuĂn	油咹	油𩛖
dắt	𢩮
dễ	易
dễThương	易傷
dễThường	易常
dịch	譯
dịchVụ	役務
dụng	用
dự	預
dựBáo	預報
dựChi	預支
dựKiến	預見
dựa	豫
dựaTrên	豫𨕭
dựng	𥩯
dựÁn	預案
dựĐịnh	預定
em	㛪
emBé	㛪𡮣
gia	家	加
giaCảnh	家景
giaNhập	加入
giaVị	加味
gian	間
giao	交
giaoHàng	交行
giaĐình	家庭
giaĐìnhBênNội	家庭边内
giaĐìnhTrị	家庭治
già	𦓅
giàCả	𦓅哿
giàYếu	𦓅要
giàĐời	𦓅𠁀
giá	价	價
giáMắt	价眜	價眜
giáThịTrường	价市場	價市場
giáTrị	价値	價値
giáo	教
giáoSư	教師
giáoViên	教員
giáoVụ	教務
giáoĐường	教堂
giáp	夾
giápChiến	夾戰
giápGiới	夾界
giápHạt	夾籺
giápMặt	夾𩈘
gió	𩙌	𩙋
gióMưa	𩙌𩅹	𩙋𩅹
gióTrăng	𩙌𦝄	𩙋𦝄
gióĐông	𩙌東	𩙋東
giúp	𠢞
giúpĐỡ	𠢞拖
giải	解
giảiNghĩa	解義
giảiQuyết	解決
giảiThích	解釋
giấy	紙
giấyBáo	紙報
giấyBạc	紙鉑
giấyIn	紙印
giấyViếtThư	紙曰書
giấyĐánhMáy	紙打𣛠
giấyẢnh	紙影
giới	界
giớiHạn	界限
giờ	𣇞
giờLàmViệc	𣇞爫役
giờĐây	𣇞低
giữ	𡨹
giữLòng	𡨹𢚸
giữLời	𡨹𠳒
giữMiệng	𡨹𠰘
giữa	𡨌
giữÝ	𡨹意
gái	𡛔
gây	𢲧
gâyChiến	𢲧戰
gâyChuyện	𢲧𡀯
gâyDựng	𢲧𥩯
gì	之	咦
gấp	急
gần	𧵆
gầnXa	𧵆賖
gọi	噲
gọiCửa	噲𨴦	噲𨷶
gọiLà	噲羅
hai	𠄩
hay	咍
hayLà	咍羅
hayQuá	咍過
haySao	咍牢
hiểm	險
hiểu	曉
hiểuBiết	曉别
hiện	現
hiệnNay	現𠉞
hiệnTiền	現前
hiệnTại	現在
hiệnĐại	現代
hoa	花	華
hoaKỳ	花旗
hoaTrà	花茶
hoà	和
hoàBình	和平
hoá	化
hoáHọc	化学	化學
hoáTrị	化値
hoặc	或
hoặcLà	或羅
hà	河
hàNội	河内
hàng	行	航
hàngChữ	行𡦂	行𡨸
hàngHải	航海
hàngKhông	航空
hànhKhách	行客
hán	漢
hánViệt	漢越
hánVăn	漢文
hãng	行
hình	形
hìnhThành	形成
hìnhẢnh	形影
hòn	𡉕
